text,label,category
"Assalomu alaykum, bugungi yig'ilish 14:00ga ko'chirildi, bank filialida bo'lib o'tadi.",safe,xavfsiz
"Diqqat! Kartangizdagi mablag' nazorat qilinishi uchun bir martalik SMS kodni yuboring, aks holda kredit arizangiz bekor qilinadi.",phishing,oson_kredit_soxta
"Tug'ilgan kuningiz muborak bo'lsin, Gulnora! Senga baxt va sog'lik tilaymiz.",safe,xavfsiz
"Universitetda ertangi imtihon 14:00da 305-xonada bo'lib o'tadi, pasportingizni olib kelishni unutmang.",safe,xavfsiz
"Xalq bankidan kredit olish bo'yicha maslahat kerak bo'lsa, filialga bevosita murojaat qiling, hech qanday oldindan to'lov talab qilinmaydi.",safe,xavfsiz
"VIDEO: Taniqli shaxs nomidan tarqatilgan xabar — 'Bu loyiha orqali har kim 5 400 000 so'm ishlab topishi mumkin', batafsil: click-uz-bonus.xyz",phishing,mashhur_shaxs_deepfake
Sovg'angizni oling! Bayram munosabati bilan barcha foydalanuvchilarga bonus taqdim etilmoqda: telegram-support-uz.net — hoziroq faollashtiring.,phishing,sovga_havola
"Litsenziyas1z vosit@chi: chet elg@ i$hga joylasht1ramiz, oldindan xizmat h@q1n1 o'tkazing, keyin b@rcha hujj@tlarni tayy0rlaym1z.",phishing,xorijda_ish_firibgarligi_obfuskatsiya
"Men Prezident Administratsiyasi xodimiman, sizning nomzodingiz yuqori lavozimga tasdiqlangan, tezroq rasmiylashtirish uchun 50 000 000 so'm kerak bo'ladi, hech kimga aytmang.",phishing,amaldor_lavozim_pora
"Davlat xizmati: pasport/ID karta ma'lumotlaringizni yangilash muddati o'tmoqda, jarimadan qochish uchun shaxsiy ma'lumotlaringizni ushbu formaga kiriting: hamyon-uz.top",phishing,davlat_xizmatlari_markazi
Feruzani 'Yilning eng yaxshi onasi' tanlovida g'olib qilish uchun ovoz bering! Havola: click-uz-bonus.xyz — Telegram orqali kirish talab qilinadi.,phishing,soxta_tanlov
"Amakim tug'ilgan kunida hammamiz yig'ilamiz, kafeda soat 14:00da.",safe,xavfsiz
"Hurmatli mijoz, Ipoteka bank orqali 3 000 000 so'm miqdorida to'lovingiz muvaffaqiyatli amalga oshirildi.",safe,xavfsiz
"Bugun soat 16:30da video-qo'ng'iroq qilamizmi, Nodira? Loyihani muhokama qilishimiz kerak.",safe,xavfsiz
"Yetkazib berish xizmati: sizning nomingizga posilka keldi, lekin manzil noto'g'ri. Tasdiqlash uchun ma'lumotlarni kiriting: hamyon-uz.top",phishing,sovga_havola
"mehmonxonada xonangizni band qildik, check-in vaqti 16:30.",safe,xavfsiz
"Tanishlarim orqali eltilgan mashinalarni bojxonasiz arzon sotib beraman, band qilish uchun 8 300 000 so'm oldindan to'lang.",phishing,arzon_avtomobil_firibgarligi
"Ishxonada xayriya jamg'armasi tashkil qildik, xohlaganlar ixtiyoriy ravishda hissa qo'shishi mumkin, majburiyat yo'q.",safe,xavfsiz
"Bugun ob-havo ochiq, harorat +18 daraja. Kechqurun sayrga chiqsak bo'ladimi, Gulnora?",safe,xavfsiz
Faqat 1 kun ichida pulingizni 3 martaga oshiring! Kripto-loyihamizga qo'shiling: click-uz-bonus.xyz. Minimal depozit 27 500 000 so'm.,phishing,kripto_investitsiya
"Amakim tug'ilgan kunida hammamiz yig'ilamiz, bank filialida soat 16:30da.",safe,xavfsiz
"Onlayn tanlovda ishtirok etib, universitet stipendiyasini yutib oldim, rasmiy sayt orqali tasdiqlandi, hech qanday to'lov so'ralmadi.",safe,xavfsiz
"Universitetda ertangi imtihon 10:30da 214-xonada bo'lib o'tadi, pasportingizni olib kelishni unutmang.",safe,xavfsiz
"Sizga interaktiv tabrik-GIF yuborildi, ko'rish uchun ilovani yangilang (obnovleniya): sovga-yangiyil.click",phishing,sovga_havola
